,Gramas,ODS,,
0,abioticos,Vida submarina;  Vida de ecosistemas terrestres ,,
1,abusador,Igualdad de género,,
2,academia,Educación de calidad,,
3,academicas,Educación de calidad,,
4,academico,Educación de calidad,,
5,academicos,Educación de calidad,,
6,acceso,Reducción de desigualdades,,
7,aceitera,Producción y consumo responsable,,
8,aceites,Producción y consumo responsable,,
9,aceitosos,Producción y consumo responsable,,
10,acero,Producción y consumo responsable,,
11,aceros,Producción y consumo responsable,,
12,acetogenina,Salud y bienestar,,
13,acuaponicos,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
14,acuaticas,Vida submarina,,
15,acuaticos,Vida submarina,,
16,acueducto,Agua limpia y saneamiento,,
17,acueductos,Agua limpia y saneamiento,,
18,acuicola,Vida submarina,,
19,acuicolas,Vida submarina,,
20,acuicultura,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
21,acuifero,Agua limpia y saneamiento;  Vida submarina,,
22,acuiferos,Agua limpia y saneamiento;  Vida submarina,,
23,acuosas,Agua limpia y saneamiento;  Vida submarina,,
24,adenovirus,Salud y bienestar,,
25,adenoviruses,Salud y bienestar,,
26,aderezos,Producción y consumo responsable,,
27,aerobico,Salud y bienestar,,
28,aerolinea,Trabajo decente y crecimiento económico,,
29,aerolineas,Trabajo decente y crecimiento económico,,
30,aeronauticas,Trabajo decente y crecimiento económico,,
31,aeronautico,Trabajo decente y crecimiento económico,,
32,afeccion,Salud y bienestar,,
33,afecciones,Salud y bienestar,,
34,afloramientos,Vida de ecosistemas terrestres,,
35,aflorantes,Vida de ecosistemas terrestres,,
36,afrocolmbianas,"Paz, justicia e instituciones sólidas",,
37,afrocolombiana,"Paz, justicia e instituciones sólidas",,
38,afrocolombianas,"Paz, justicia e instituciones sólidas",,
39,afrocolombiano,"Paz, justicia e instituciones sólidas",,
40,afrocolombianos,"Paz, justicia e instituciones sólidas",,
41,afrodescendencias,"Paz, justicia e instituciones sólidas",,
42,afrodescendientes,"Paz, justicia e instituciones sólidas",,
43,agraria,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
44,agrarias,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
45,agrario,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
46,agrarios,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
47,gremio,"Trabajo decente y crecimiento económico; Industria, innovación e infraestructuras",,
48,agremiaciones,"Trabajo decente y crecimiento económico; Industria, innovación e infraestructuras",,
49,agresiones,"Paz, justicia e instituciones sólidas",,
50,agresivos,"Paz, justicia e instituciones sólidas",,
51,agresor,"Paz, justicia e instituciones sólidas",,
52,agricolas,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
53,agricultores,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
54,agricultura,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
