País,Entidad,Tipo convocatoria,Título,Links pdf,Link,id_proy_viejo,ID Proyecto,Fecha
Chile,Conicyt,Índices-Evaluación,CONVOCATORIA PARA INDEXACIÓN DE REVISTAS CIENTÍFICAS EN SCIELO-CHILE,,https://www.conicyt.cl/informacioncientifica/2017/06/13/convocatoria-para-indexacon-de-revistas-cientificas-en-scielo-chile/,text1.txt,text1.txt,2017
Chile,Conicyt,Investigación-Innovación,I Concurso IDeA en dos etapas temático en Inocuidad y Calidad Alimentaria – Segunda Etapa,", https://www.conicyt.cl/fondef/files/2019/11/Bases-I-Concurso-IDeA-dos-etapas-Tematico-en-Inocuidad-y-Calidad-Alimentaria.pdf, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-ETAPA-2-PRESENTACIoN.ppt, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-ETAPA-2-Formulario-de-postulacion.docx, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-ETAPA-2-CARTA-DE-COMPROMISO-INSTITUCION-BENEFICIARIA.doc, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-CARTA-COMPROMISO-ENTIDAD-ASOCIADA.doc, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-DECLARACIoN-JURADA-SIMPLE.doc, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-DECLARACIoN-SIMPLE-DUPLICIDAD.doc, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-ETAPA-2-CARTA-EVALUADORES-OBJETADOS.docx, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-CARTA-GANTT.xls, https://www.conicyt.cl/fondef/files/2019/09/ID17AL2-PLANILLA-DE-COSTOS-SEGUNDA-ETPA-INV-TECNOLOGICA.xls",https://www.conicyt.cl/fondef/2019/11/20/i-concurso-idea-en-dos-etapas-tematico-en-inocuidad-y-calidad-alimentaria-segunda-etapa/,text16.txt,text2.txt,2021
Chile,Conicyt,Investigación-Innovación,IV Concurso IDeA en Dos Etapas – Segunda Etapa,https://s3.amazonaws.com/documentos.anid.cl/fondef/2019/ID17I2/Bases_IVConcursoIDeAdosEtapas2017.pdf,https://www.conicyt.cl/fondef/2019/11/20/iv-concurso-idea-en-dos-etapas-segunda-etapa/,text17.txt,text3.txt,2019
Chile,Conicyt,Investigación-Innovación,II Concurso IDeA en Dos Etapas temático en Adulto Mayor – Segunda Etapa,", https://www.conicyt.cl/fondef/files/2017/03/Bases-IV-Concurso-IDeA-dos-etapas-2017-Res.pdf, https://www.conicyt.cl/fondef/files/2019/11/ID17-ETAPA-2-PRESENTACION.ppt, https://www.conicyt.cl/fondef/files/2019/11/ID17-ETAPA-2-Formulario-de-postulacion.docx, https://www.conicyt.cl/fondef/files/2019/11/ID17i2-DECLARACION-JURADA-SIMPLE.doc, https://www.conicyt.cl/fondef/files/2019/11/ID17i2-DECLARACION-SIMPLE-DUPLICIDAD.doc, https://www.conicyt.cl/fondef/files/2019/11/ID17I2-CARTA-COMPROMISO-ENTIDAD-ASOCIADA.doc, https://www.conicyt.cl/fondef/files/2019/11/ID17-ETAPA-2-CARTA-EVALUADORES-OBJETADOS.docx, https://www.conicyt.cl/fondef/files/2019/11/ID17i2-CARTA-GANTT.xls, https://www.conicyt.cl/fondef/files/2019/11/ID17I2-PLANILLA-DE-COSTOS-SEGUNDA-ETPA-INV-TECNOLOGICA.xls",https://www.conicyt.cl/fondef/2019/12/10/ii-concurso-idea-en-dos-etapas-tematico-en-adulto-mayor-segunda-etapa/,text18.txt,text4.txt,2019
Chile,Conicyt,Investigación-Innovación,"Concurso Programa Regional CLIMAT-Amsud, Año 2020",", https://s3.amazonaws.com/documentos.anid.cl/pci/2020/climatnac/Resolucion_apertura_concursos_Stic_Math_Climat_2020.pdf",https://www.conicyt.cl/pci/2019/12/climat-amsud-convocatoria-internacional-2020/,text19.txt,text5.txt,2021
Chile,Conicyt,Investigación-Innovación,"Concurso Programa Regional STIC-Amsud, Año 2020",", https://s3.amazonaws.com/documentos.anid.cl/pci/2020/sticnac/Resolucion_apertura_concursos_Stic_Math_Climat_2020.pdf",https://www.conicyt.cl/pci/2019/12/stic-amsud-convocatoria-internacional-2020/,text20.txt,text6.txt,2021
Chile,Conicyt,Investigación-Innovación,"Concurso Programa Regional MATH-Amsud, Año 2020",", https://s3.amazonaws.com/documentos.anid.cl/pci/2020/mathnac/Resolucion_apertura_concursos_Stic_Math_Climat_2020.pdf",https://www.conicyt.cl/pci/2019/12/math-amsud-convocatoria-internacional-2020/,text21.txt,text7.txt,2021
Chile,Conicyt,Investigación-Innovación,IDEA 2016 – SEGUNDA ETAPA PROYECTOS,", https://www.conicyt.cl/fondef/files/2016/03/RES.-153-15-R-AFECTA-BASES-III-CONCURSO-IDeA-EN-DOS-ETAPAS.pdf, https://www.conicyt.cl/fondef/files/2018/07/ID16-ETAPA-2-Formulario-oficial-de-presentaci%C3%B3n-.docx, https://www.conicyt.cl/fondef/files/2018/07/ID16-ETAPA-2-CARTA-DE-COMPROMISO-INSTITUCION-BENEFICIARIA.doc, https://www.conicyt.cl/fondef/files/2018/07/ID16-CARTA-COMPROMISO-ENTIDAD-ASOCIADA.doc, https://www.conicyt.cl/fondef/files/2018/07/ID16i2-DECLARACI%C3%93N-JURADA-SIMPLE.doc, https://www.conicyt.cl/fondef/files/2018/07/ID16i2-DECLARACI%C3%93N-SIMPLE-DUPLICIDAD.doc, https://www.conicyt.cl/fondef/files/2018/07/ID16-PLANILLA-DE-COSTOS-SEGUNDA-ETPA-INV-TECNOLOGICA.xls, https://www.conicyt.cl/fondef/files/2018/07/Gantt-ID16i2.xls, https://www.conicyt.cl/fondef/files/2018/07/ID16-ETAPA-2-PRESENTACI%C3%93N.ppt, https://www.conicyt.cl/fondef/files/2018/07/ID16-ETAPA-2-CARTA-EVALUADORES-OBJETADOS.docx",https://www.conicyt.cl/fondef/2018/08/01/segunda-etapa-proyectos-idea-2016/,text22.txt,text8.txt,2021
Chile,Conicyt,Investigación-Innovación,I CONCURSO IDEA TEMÁTICO EN ADULTO MAYOR – SEGUNDA ETAPA,", https://www.conicyt.cl/fondef/files/2016/04/Bases-I-Concurso-en-IDeA-en-Dos-Etapas-Tem%C3%A1tico-en-Adulto-Mayor.pdf, https://www.conicyt.cl/fondef/files/2018/07/ID16AM-ETAPA-2-Formulario-oficial-de-presentaci%C3%B3n-.docx, https://www.conicyt.cl/fondef/files/2018/07/ID16AM-ETAPA-2-CARTA-DE-COMPROMISO-INSTITUCION-BENEFICIARIA.doc, https://www.conicyt.cl/fondef/files/2018/07/ID16AM-CARTA-COMPROMISO-ENTIDAD-ASOCIADA.doc, https://www.conicyt.cl/fondef/files/2018/11/ID16AM-Etapa-2-DECLARACION-JURADA-SIMPLE.doc, https://www.conicyt.cl/fondef/files/2018/11/ID16AM-Etapa-2-DECLARACION-SIMPLE-DUPLICIDAD.doc, https://www.conicyt.cl/fondef/files/2018/07/ID16AM-PLANILLA-DE-COSTOS-Etapa-2-.xls, https://www.conicyt.cl/fondef/files/2018/07/Gantt-ID16i2.xls, https://www.conicyt.cl/fondef/files/2018/07/ID16AM-ETAPA-2-PRESENTACI%C3%93N.ppt, https://www.conicyt.cl/fondef/files/2018/07/ID16AM-ETAPA-2-CARTA-EVALUADORES-OBJETADOS.docx",https://www.conicyt.cl/fondef/2018/11/22/segunda-etapa-i-concurso-idea-tematico-en-adulto-mayor/,text23.txt,text9.txt,2018
Chile,Conicyt,Investigación-Innovación,ANILLOS DE INVESTIGACIÓN EN CIENCIA Y TECNOLOGÍA PARA LA REGIÓN DE O´HIGGINS 2019,", https://www.conicyt.cl/pia/files/2019/10/Bases-Anillos-Regional-OHiggins.pdf, https://www.conicyt.cl/pia/files/2019/10/Anexo-1.pdf, https://www.conicyt.cl/pia/files/2019/10/Anexo-2.pdf, https://www.conicyt.cl/pia/files/2019/10/Full-proposal-form.docx, https://www.conicyt.cl/pia/files/2019/10/Budget-justification-actualizado-26-11-2019.xls, https://www.conicyt.cl/pia/files/2019/10/Certificaci%C3%B3n-de-Contrataciones-de-las-Instituci%C3%B3n-es-Participantes.docx, https://www.conicyt.cl/pia/files/2019/10/Carta-de-Compromiso-Institucional-Principal.doc, https://www.conicyt.cl/pia/files/2019/10/Carta-de-Compromiso-Inst.-o-Entidad-Asociada.doc, https://www.conicyt.cl/pia/files/2019/10/Certificado-Validaci%C3%B3n-Curricular-1.docx, https://www.conicyt.cl/pia/files/2019/10/Carta-Compromiso-Tramitaci%C3%B3n-en-Comit%C3%A9-Etica-Bio%C3%A9tica-Ins-Reguladora.doc, https://www.conicyt.cl/pia/files/2019/10/Declaraci%C3%B3n-Prenatal-Postnatal-y-o-Enfermedad-de-una-hijoa.docx, https://www.conicyt.cl/pia/files/2019/10/Instructivo-Postulaci%C3%B3n-Sistema-Anillos-CYT-1.pdf, https://www.conicyt.cl/pia/files/2019/10/Instructivo-Ingreso-CV-Portal-del-Investigador-CYT-2019.pdf, https://www.conicyt.cl/pia/files/2019/10/Convenio-tipo-Anillo-Regional-PIA.pdf, https://www.conicyt.cl/pia/files/2019/10/Listado-OECD.pdf, https://www.conicyt.cl/pia/files/2019/10/MANUAL-DE-NORMAS-DE-BIOSEGURIDAD.pdf, https://www.conicyt.cl/pia/files/2019/10/Preguntas-Frecuentes-18-10-2019.pdf",https://www.conicyt.cl/pia/2019/10/03/anillos-de-investigacion-en-ciencia-y-tecnologia-para-la-region-de-ohiggins-2019/,text24.txt,text10.txt,2019
